gene,pval
NM_000020.3,0.021522193562987
NM_000024.6,0.102854737359627
NM_000026.4,-0.138232561934651
NM_000030.3,-0.113547999087437
NM_000046.5,0.17899486059634
NM_000049.4,0.251994405325399
NM_000051.4,-0.17157323342214
NM_000052.7,-0.126429040845851
NM_000057.4,0.23810450187975
NM_000059.4,0.858793889017767
NM_000064.4,-0.542552773137455
NM_000067.3,0.228013538887667
NM_000071.3,-0.100830569775502
NM_000073.3,-0.559485265398587
NM_000074.3,0.965410693803882
NM_000075.4,0.123242753523304
NM_000082.4,-0.645332987285496
NM_000084.5,0.166960041509899
NM_000086.2,0
NM_000089.4,-0.100830569775502
NM_000090.4,-0.858974672483239
NM_000095.3,-1.39303449980133
NM_000097.7,0.341067162293867
NM_000098.3,0.0272258214674142
NM_000099.4,0.400228095451966
NM_000100.4,0.551905185430343
NM_000102.4,-0.100830569775502
NM_000104.4,-0.217822800664061
NM_000112.4,0.740831066230884
NM_000113.3,0.898529026872753
NM_000117.3,-0.0609109326614929
NM_000123.4,-0.309604288581399
NM_000127.3,0.627581117834734
NM_000129.4,-0.101643914159131
NM_000130.5,0.428284060778959
NM_000132.4,-0.0583709604513895
NM_000134.4,0.562699584776027
NM_000135.4,-1.37463121551756
NM_000136.3,0.426830856310524
NM_000139.5,1.19217469184364
NM_000140.5,0.631780126045847
NM_000143.4,0.402533312536623
NM_000144.5,0.0464832448941765
NM_000146.4,1.90602167207024
NM_000148.4,0.676967287406884
NM_000149.4,-0.106266026412042
NM_000150.4,-1.22912206161391
NM_000151.4,-0.0275992792023279
NM_000154.2,1.42411510632042
NM_000155.4,0
NM_000156.6,-0.96892700516651
NM_000158.4,1.72810452667491
NM_000163.5,-0.106266026412042
NM_000164.4,-1.20069338201238
NM_000165.5,0.462710308954934
NM_000167.6,-0.0304779175195907
NM_000168.6,-0.100830569775502
NM_000170.3,-0.0436439158715659
NM_000172.4,-0.100830569775502
NM_000173.7,2.7168263450515
NM_000175.5,-1.29803367024313
NM_000178.4,0.320672572402058
NM_000180.4,0.112306678369007
NM_000182.5,0.791492550084417
NM_000186.4,-0.409917865625684
NM_000191.3,-0.100830569775502
NM_000194.3,1.89079013428307
NM_000201.3,-0.159196099529414
NM_000202.8,-0.112856562471054
NM_000209.4,0.0505009579492671
NM_000212.3,0.632088823623667
NM_000214.3,0.0114220965586901
NM_000215.4,-0.0889730464463311
NM_000216.4,0
NM_000226.4,0.346046939375844
NM_000229.2,0.0370694294208864
NM_000230.3,0.488872204213657
NM_000232.5,-0.0730206285262225
NM_000236.3,-0.528934371776262
NM_000237.3,1.66063960329096
NM_000239.3,0.125857907104038
NM_000243.3,0.258600209287607
NM_000245.4,0
NM_000246.4,-0.420420639960961
NM_000254.3,0.224732850463287
NM_000259.3,0.702623062789604
NM_000263.4,0.32067257240206
NM_000268.4,-0.00679189137578641
NM_000269.3,0.600338754852699
NM_000270.4,0.876020231436284
NM_000283.4,-0.372652041512911
NM_000286.3,1.12850334479259
NM_000290.4,-0.329065751060935
NM_000291.4,2.66551943575044
NM_000293.3,-0.161026407411294
NM_000294.3,0.0911530912730925
NM_000297.4,0.79914367902486
NM_000303.3,-0.785810263468755
NM_000307.5,-0.100830569775502
NM_000308.4,-0.288786093476083
NM_000317.3,0.676556862831023
NM_000318.3,0.710722997269289
NM_000322.5,0
NM_000327.4,-0.477807716680804
NM_000334.4,1.47100362438049
NM_000339.3,-0.141292247136892
NM_000342.4,-0.666517465330064
NM_000346.4,0.853152027425531
NM_000349.3,-0.831561457649083
NM_000353.3,0.758388302768651
NM_000356.4,0
NM_000358.3,-0.465999362100016
NM_000359.3,1.33457718148769
NM_000361.3,-0.118385889456759
NM_000362.5,0.970266900245383
NM_000363.5,-0.0315202604240479
NM_000367.5,-1.14772673150521
NM_000370.3,0
NM_000373.4,0.0630585737050542
NM_000376.3,0.87586437857403
NM_000379.4,-0.922613503821927
NM_000382.3,-0.130788713705731
NM_000383.4,-0.218990997733105
NM_000386.4,-0.0294356375362592
NM_000387.6,0.954190599188263
NM_000388.4,0.174366793922335
NM_000390.4,-0.431172701646565
NM_000391.4,1.64975676159376
NM_000396.4,-0.278693055647126
NM_000398.7,0.106693825674434
NM_000400.4,0.918904686380492
NM_000402.4,0
NM_000405.5,-0.193945248023547
NM_000406.3,0.863642884302651
NM_000410.4,-0.56886925170477
NM_000413.4,-0.309604288581399
NM_000415.3,0.844651261619309
NM_000417.3,0.201823613446251
NM_000418.4,-0.309604288581399
NM_000421.5,0.615195973829614
NM_000422.3,-0.883200960754103
NM_000428.3,-0.0134621130449978
NM_000429.3,-0.682124685344311
NM_000434.4,0.30462980860376
NM_000437.4,0.573102886649161
NM_000440.3,0.589421951933966
NM_000441.2,0.203358582047675
NM_000442.5,0.119718184743634
NM_000446.7,0.140011692231613
NM_000451.4,-0.507179098137233
NM_000453.3,-1.22825896903601
NM_000454.5,0.42867048326216
NM_000474.4,1.44476218895449
NM_000476.3,2.58583152007467
NM_000477.7,0.102693289470921
NM_000479.5,1.15324245365881
NM_000485.3,-0.0531068146971636
NM_000487.6,0.898294058962016
NM_000492.4,-0.100830569775502
NM_000494.4,0.462927187653958
NM_000509.6,-0.100830569775502
NM_000511.6,1.18818485883292
NM_000514.4,0.408032460604014
NM_000517.6,-0.100830569775502
NM_000519.4,-0.100830569775502
NM_000520.6,-0.336471604071698
NM_000522.5,0.54124021117565
NM_000523.4,0.195979093232471
NM_000525.4,0.750700825298078
NM_000527.5,0.262776863334112
NM_000529.2,0
NM_000535.7,0.129880113960777
NM_000538.4,1.05308334791986
NM_000542.5,-1.14713308866725
NM_000544.3,0.320672572402058
NM_000550.3,0.32067257240206
NM_000551.4,0.560677509387368
NM_000553.6,0.485016388514229
NM_000554.6,1.20990278223231
NM_000555.3,0.12729563623635
NM_000558.5,0.183419182603244
NM_000561.4,-0.358303502994886
NM_000564.5,0
NM_000565.4,-0.387228609757751
NM_000572.3,1.84675977973485
NM_000574.5,0.640361541719413
NM_000578.4,0
NM_000587.4,-1.93037682900307
NM_000594.4,-1.28037692962804
NM_000599.4,1.06871789001875
NM_000602.5,0.231714770086373
NM_000603.5,-0.181656188120247
NM_000606.3,-0.153850832555407
NM_000612.6,0
NM_000613.3,-0.00267852267859117
NM_000618.5,-0.294876100084715
NM_000620.5,0.525663365479358
NM_000621.5,-0.420570311457097
NM_000625.4,-0.0143806137848599
NM_000628.5,0.0352954951185937
NM_000629.3,-0.150466867459909
NM_000634.3,-0.120994815232526
NM_000636.4,0.172057552495324
NM_000637.5,-1.00070623292809
NM_000638.4,-0.389498827762552
NM_000641.4,-0.387720988544095
NM_000646.2,-1.60730085643498
NM_000651.6,0.203013980032324
NM_000660.7,0.176075327984925
NM_000661.5,-0.185198054500651
NM_000668.6,0.164404138733622
NM_000670.5,0
NM_000671.4,-0.00525689674316205
NM_000682.7,0
NM_000683.4,0.799116382006548
NM_000684.3,-1.30256728944278
NM_000688.6,0.333756308564732
NM_000689.5,-0.0166787864859903
NM_000690.4,0.483160755523059
NM_000692.5,0.407455223829924
NM_000694.4,0.693944876380569
NM_000697.3,-0.100830569775502
NM_000701.8,-1.14398341155788
NM_000702.4,0.267359498016417
NM_000704.3,1.18039628584142
NM_000706.5,0.216614317206162
NM_000707.5,0.106693825674434
NM_000709.4,0.102693289470921
NM_000710.4,-0.100830569775502
NM_000713.3,0.755522343786796
NM_000718.4,-0.290402477054818
NM_000724.4,0.313089492074048
NM_000728.4,-0.245807139452284
NM_000740.4,0.79914367902486
NM_000745.4,-0.452398384217331
NM_000747.3,0.0815639612417154
NM_000750.5,0.645068119413817
NM_000758.4,-0.0672310592385168
NM_000761.5,0.0884201646769822
NM_000767.5,0.00874015700342469
NM_000769.4,0.694161663477987
NM_000771.4,-0.467738695932332
NM_000773.4,0
NM_000780.4,-0.131480092233797
NM_000784.4,0.347447984254172
NM_000785.4,-3.9321652821661
NM_000786.4,0.316134157190616
NM_000791.4,-0.19782608805413
NM_000793.6,-0.290402477054818
NM_000797.4,0.507191795163808
NM_000798.5,1.68985160092803
NM_000799.4,-0.582745421132439
NM_000805.5,-0.00631593746681093
NM_000807.4,-0.100830569775502
NM_000820.4,-0.100379905647078
NM_000821.7,0.311292472364143
NM_000828.5,-0.109980549763656
NM_000843.4,-0.244750386347231
NM_000848.4,0.55491549006076
NM_000849.5,1.16424151280913
NM_000852.4,0.293961714945595
NM_000861.3,-0.974702955754173
NM_000864.5,0.145467167455025
NM_000871.3,0.354910768132362
NM_000874.5,0.317996903793904
NM_000876.4,1.10674614879089
NM_000877.4,-0.950705248417515
NM_000883.4,-0.13447719771875
NM_000885.6,0.0353133457201949
NM_000887.5,0.199947797649108
NM_000890.5,-0.199949495082155
NM_000891.3,0.0566083341153717
NM_000896.3,-0.0782420605924422
NM_000899.5,-0.421933258900379
NM_000903.3,-0.868725851116873
NM_000905.4,-0.053177332425121
NM_000911.4,-0.852682042293599
NM_000912.5,0.320672572402058
NM_000914.5,-0.873189636762262
NM_000915.4,0.106693825674434
NM_000916.4,0.32067257240206
NM_000918.4,2.86558547173624
NM_000921.5,0.547446750880089
NM_000923.6,0.485878620264245
NM_000927.5,0.512013408122677
NM_000928.3,-0.100830569775502
NM_000937.5,0.101100528691235
NM_000942.5,0.149526577731837
NM_000943.5,2.28918291911194
NM_000945.4,0.601070508094036
NM_000946.3,1.36891724609052
NM_000947.5,0
NM_000949.7,-0.409917865625684
NM_000952.5,-1.48122575757963
NM_000954.6,0.0219540565982394
NM_000955.3,-0.100830569775502
NM_000956.4,1.3341868618653
NM_000961.4,-0.083313509738288
NM_000963.4,1.09985312696785
NM_000967.4,0.832824745143981
NM_000968.4,0.629381627721625
NM_000969.5,2.45588249187094
NM_000970.6,0.794377333846135
NM_000971.4,0.146157391524097
NM_000972.3,1.69827500035613
NM_000973.5,-0.254010550972054
NM_000975.5,-0.612807568752384
NM_000976.4,1.4051274535832
NM_000978.4,1.18656990468405
NM_000979.4,0.899894852365392
NM_000980.4,0.779193244165423
NM_000981.4,0.614677759290273
NM_000982.4,1.31415234194455
NM_000983.4,0.817861386947297
NM_000984.6,1.9065495016592
NM_000986.4,1.55040607270569
NM_000987.5,-1.20708889335516
NM_000988.5,-0.100830569775502
NM_000989.4,1.07645442472722
NM_000990.5,1.36043273498216
NM_000991.5,-0.409622002000488
NM_000992.3,1.39064205792969
NM_000993.5,0.756710701672159
NM_000994.4,0.915792743268456
NM_000996.4,0.246299288824594
NM_000997.5,0.40357214446923
NM_000998.5,1.77859419470945
NM_000999.4,-0.110788457871012
NM_001000.4,2.53711356610693
NM_001001.5,0.52148068601304
NM_001001330.3,2.14712707089151
NM_001001342.2,0.630807819268055
NM_001001349.2,-1.03772036862496
NM_001001410.3,0.0426408517232296
NM_001001412.4,-2.43697377494104
NM_001001413.3,-1.40028044735927
NM_001001414.2,0.188357573561649
NM_001001415.4,-0.655066333614543
NM_001001419.3,-0.290688387554637
NM_001001420.3,0.884254114859919
NM_001001433.3,0.115513901104713
NM_001001436.4,0.115313697758378
NM_001001479.4,0.875494755091711
NM_001001481.4,-0.235964924920328
NM_001001484.3,-0.132932226261376
NM_001001503.2,1.07139720666881
NM_001001524.3,-0.282887712223294
NM_001001548.3,0.479108027909644
NM_001001556.3,-0.100830569775502
NM_001001557.4,0.185573268922183
NM_001001563.5,-0.198379094670404
NM_001001653.3,-0.100830569775502
NM_001001660.3,0.450431083347168
NM_001001661.3,-0.530969113040487
NM_001001664.3,0.628626897566993
NM_001001665.4,-0.241741496714316
NM_001001668.4,0.215509046224678
NM_001001674.2,-0.126683962349769
NM_001001683.4,0
NM_001001694.3,-1.39533327518219
NM_001001701.4,-0.657981738164352
NM_001001713.1,-0.309604288581399
NM_001001715.4,0.498342007047549
NM_001001790.3,-0.391084703506904
NM_001001794.4,0.225599506325716
NM_001001795.2,0.532486039629553
NM_001001802.3,-0.171160960242084
NM_001001851.3,-0.777128185919482
NM_001001852.4,0.82032578655529
NM_001001872.4,-0.670498524907841
NM_001001912.3,0.186707082467826
NM_001001913.2,0.342084031428409
NM_001001917.5,0
NM_001001921.2,0.736568615281499
NM_001001928.4,-0.242991032846039
NM_001001929.3,-0.390646930999927
NM_001001935.3,0.684258669607236
NM_001001937.2,0.5230150295165
NM_001001954.2,0.667130196971093
NM_001001964.2,-0.059681775088709
NM_001001974.4,-0.100830569775502
NM_001001975.2,-0.00815618248223236
NM_001001992.2,0
NM_001001998.3,0.373307990985341
NM_001002.4,0.102693289470921
NM_001002019.3,-0.612710611480866
NM_001002020.3,-0.708425826272066
NM_001002026.3,0.495259184365839
NM_001002032.3,0.320672572402058
NM_001002033.3,0.669712054967913
NM_001002034.3,-0.100830569775502
NM_001002035.2,0.705798397351303
NM_001002244.2,-0.100830569775502
NM_001002246.2,0.320672572402058
NM_001002248.3,0.342084031428409
NM_001002254.1,0.32067257240206
NM_001002255.2,1.33465362956398
NM_001002759.2,-0.295171496959501
NM_001002762.5,0.454464572721139
NM_001002800.3,0.104568553584859
NM_001002814.3,-0.170732621283492
NM_001002838.4,0.320672572402058
NM_001002860.4,0.320672572402058
NM_001002877.2,-0.220598259476526
NM_001002905.2,-0.114413691061774
NM_001002911.4,0.258868302952511
NM_001002912.5,-0.100830569775502
NM_001002913.3,0.346046939375844
NM_001002917.2,-0.680472561543596
NM_001002923.3,-0.128967526375596
